FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,BURNOUT_RISK
1,9,2,1,5,3,4,0,2,6,1,3000,5,4,9,8,7,1,0,0,29,1,1
3,7,3,3,7,5,6,2,4,8,3,7000,7,6,7,6,9,3,2,2,45,2,1
2,8,1,2,6,4,5,1,3,7,2,5000,6,5,8,7,8,2,1,1,39,1,1
1,9,2,1,5,3,4,0,2,6,1,3000,5,4,9,8,7,1,0,0,30,2,1
3,7,3,3,7,5,6,2,4,8,3,7000,7,6,7,6,9,3,2,2,46,1,1
2,8,1,2,6,4,5,1,3,7,2,5000,6,5,8,7,8,2,1,1,40,2,1
4,8,2,3,6,5,4,2,3,6,2,8000,5,5,8,7,7,1,1,1,35,1,1
3,9,1,2,5,4,3,1,2,5,1,7000,4,4,9,8,6,0,0,0,42,2,1
2,10,3,4,7,6,5,3,4,7,3,9000,6,3,10,9,8,2,2,2,38,1,1
5,7,2,3,6,5,4,2,3,6,2,8000,5,6,7,6,7,1,1,1,40,2,1
1,8,1,2,5,4,3,1,2,5,1,6000,4,5,8,7,6,0,0,0,45,1,1
4,9,3,4,7,6,5,3,4,7,3,10000,6,4,9,8,8,2,2,2,39,2,1
3,10,2,3,6,5,4,2,3,6,2,8000,5,6,10,9,7,1,1,1,36,1,1
2,7,1,2,5,4,3,1,2,5,1,7000,4,5,7,6,6,0,0,0,41,2,1
1,8,3,4,7,6,5,3,4,7,3,9000,6,4,8,7,8,2,2,2,37,1,1
5,9,2,3,6,5,4,2,3,6,2,8000,5,6,9,8,7,1,1,1,43,2,1
2,8,1,2,6,5,4,1,3,6,2,8000,6,5,8,7,8,2,1,1,38,1,1
1,9,2,1,8,4,3,0,2,7,1,6000,5,4,9,8,7,1,0,0,42,0,1
3,7,3,3,5,6,5,2,4,5,3,7000,7,6,7,6,9,3,2,2,35,1,1
2,10,1,2,7,5,4,1,3,6,2,8000,6,5,8,8,8,2,1,1,40,0,1
1,8,2,1,6,4,3,0,2,7,1,6000,5,4,9,7,7,1,0,0,45,1,1
3,9,3,3,5,6,5,2,4,5,3,7000,7,6,7,6,9,3,2,2,36,0,1
2,10,1,2,7,5,4,1,3,6,2,8000,6,5,8,8,8,2,1,1,39,1,1
1,8,2,1,6,4,3,0,2,7,1,6000,5,4,9,7,7,1,0,0,43,0,1
3,9,3,3,5,6,5,2,4,5,3,7000,7,6,7,6,9,3,2,2,37,1,1
2,10,1,2,7,5,4,1,3,6,2,8000,6,5,8,8,8,2,1,1,41,0,1
2,8,1,2,6,5,4,1,3,7,2,8000,6,5,9,8,8,2,1,1,35,1,1
1,9,2,1,8,6,5,2,2,6,1,6000,5,4,8,9,7,1,2,0,42,0,1
3,7,3,3,7,4,6,3,4,8,3,7000,7,6,7,6,9,3,0,2,29,1,1
2,8,1,2,5,5,4,1,3,7,2,8000,6,5,9,8,8,2,1,1,35,1,1
1,9,2,1,8,6,5,2,2,6,1,6000,5,4,8,9,7,1,2,0,42,0,1
3,7,3,3,6,4,6,3,4,8,3,7000,7,6,7,6,9,3,0,2,29,1,1
2,8,1,2,5,5,4,1,3,7,2,8000,6,5,9,8,8,2,1,1,35,1,1
1,9,2,1,8,6,5,2,2,6,1,6000,5,4,8,9,7,1,2,0,42,0,1
3,7,3,3,7,4,6,3,4,8,3,7000,7,6,7,6,9,3,0,2,29,1,1
2,10,1,2,6,5,4,1,3,7,0,8000,6,3,10,10,8,2,0,0,38,0,1
2,8,5,3,6,4,5,1,3,7,2,8000,6,5,8,7,8,2,1,1,35,1,1
1,9,3,2,5,3,4,0,2,6,1,6000,5,4,9,8,7,1,0,0,40,2,1
3,7,6,4,7,5,6,2,1,8,3,10000,7,6,7,6,9,3,2,2,30,1,1
2,8,4,3,6,4,5,1,3,7,2,8000,6,5,8,7,8,2,1,1,35,2,1
1,9,3,2,5,3,4,0,2,6,1,6000,5,4,9,8,7,1,0,0,40,1,1
3,7,6,4,7,5,6,2,1,8,3,10000,7,6,7,6,9,3,2,2,30,2,1
2,8,5,3,6,4,5,1,3,7,2,8000,6,5,8,7,8,2,1,1,35,1,1
1,9,3,2,5,3,4,0,2,6,1,6000,5,4,9,8,7,1,0,0,40,2,1
3,7,6,4,7,5,6,2,1,8,3,10000,7,6,7,6,9,3,2,2,30,1,1
2,8,5,3,6,4,5,1,3,7,2,8000,6,5,8,7,8,2,1,1,35,2,1
2,8,1,2,6,5,4,1,3,7,2,8000,6,5,8,7,8,2,1,1,35,1,1
1,9,2,1,5,4,3,0,2,6,1,6000,5,4,9,8,7,1,0,0,42,0,1
3,7,3,3,7,6,5,2,4,8,3,10000,7,6,7,6,9,3,2,2,28,1,1
2,8,1,2,6,5,4,1,3,7,2,8000,6,5,8,7,8,2,1,1,35,1,1
1,9,2,1,5,4,3,0,2,6,1,6000,5,4,9,8,7,1,0,0,42,0,1
3,7,3,3,7,6,5,2,4,8,3,10000,7,6,7,6,9,3,2,2,28,1,1
2,10,1,2,6,5,4,1,3,7,0,7000,6,3,10,9,8,2,0,0,38,0,1
1,9,2,1,5,4,3,0,2,6,1,5000,5,4,9,8,7,1,0,0,45,1,1
3,8,3,3,7,6,5,2,4,8,2,9000,7,6,8,7,9,3,1,1,32,0,1
2,9,1,2,6,5,4,1,3,7,1,7000,6,5,9,8,8,2,0,0,40,1,1
2,8,5,3,6,8,4,2,3,7,2,8000,6,5,8,7,5,1,1,1,32,1,1
1,9,3,2,5,6,3,1,2,6,1,6000,5,4,9,8,4,0,0,0,41,2,1
3,7,4,4,7,9,5,3,1,8,3,9000,7,6,7,6,6,2,2,2,29,1,1
2,8,6,5,8,10,6,4,4,9,2,10000,8,5,8,7,7,3,1,1,35,2,1
1,9,2,1,4,5,2,1,3,5,1,5000,4,3,9,9,3,0,0,0,42,1,1
3,7,5,3,6,8,4,2,2,7,3,8000,6,6,7,5,5,1,2,2,30,2,1
2,8,4,4,7,9,5,3,1,8,2,9000,7,5,8,7,6,2,1,1,33,1,1
1,9,3,2,5,6,3,1,4,6,1,6000,5,4,9,8,4,0,0,0,40,2,1
3,7,5,5,8,10,6,4,3,9,3,10000,8,6,7,5,7,3,2,2,31,1,1
2,8,6,6,9,10,7,5,2,10,2,11000,9,5,8,7,8,4,1,1,36,2,1
2,8,1,2,6,4,5,1,3,7,2,8000,6,5,8,7,8,2,1,1,32,1,1
1,9,2,1,7,5,4,2,2,6,1,6000,5,4,9,8,7,1,2,0,41,0,1
3,7,3,3,5,6,6,3,4,8,3,7000,7,6,7,6,6,3,1,2,38,1,1
2,10,1,2,6,4,5,1,3,7,2,8000,6,3,8,9,8,2,0,1,29,0,1
1,8,2,1,7,5,4,2,2,6,1,6000,5,5,9,7,7,1,2,0,45,1,1
3,9,3,3,5,6,6,3,4,8,3,7000,7,4,7,8,6,3,1,2,39,0,1
2,7,1,2,6,4,5,1,3,7,2,8000,6,6,8,6,8,2,0,1,30,1,1
1,10,2,1,7,5,4,2,2,6,1,6000,5,3,9,9,7,1,2,0,42,0,1
3,8,3,3,5,6,6,3,4,8,3,7000,7,5,7,7,6,3,1,2,36,1,1
2,9,1,2,6,4,5,1,3,7,2,8000,6,4,8,8,8,2,0,1,31,0,1
2,8,1,2,6,4,5,1,3,7,2,8000,6,5,9,7,8,2,1,1,35,1,1
1,9,2,3,5,5,4,2,2,6,1,6000,5,4,8,8,6,1,2,0,42,0,1
3,7,1,1,7,3,6,1,4,8,3,9000,7,6,7,6,9,3,0,2,38,1,1
2,8,2,2,6,4,5,2,3,7,2,7000,6,5,9,7,8,2,1,1,32,0,1
1,9,1,3,5,5,4,1,2,6,1,5000,5,4,8,8,6,1,2,0,45,1,1
3,7,2,1,7,3,6,2,4,8,3,10000,7,6,7,6,9,3,0,2,39,0,1
2,8,1,2,6,4,5,1,3,7,2,8000,6,5,9,7,8,2,1,1,36,1,1
1,9,2,3,5,5,4,2,2,6,1,6000,5,4,8,8,6,1,2,0,43,0,1
3,7,1,1,7,3,6,1,4,8,3,9000,7,6,7,6,9,3,0,2,40,1,1
2,8,2,2,6,4,5,2,3,7,2,7000,6,5,9,7,8,2,1,1,34,0,1
2,8,1,2,6,5,4,1,3,6,2,8000,6,5,9,7,8,2,1,1,35,1,1
3,9,2,3,7,6,5,2,2,7,1,7000,5,4,8,8,7,3,2,2,42,0,1
1,10,1,1,5,4,3,1,4,5,0,6000,4,3,10,9,6,1,0,0,38,1,1
2,7,2,3,6,5,4,2,3,6,3,8000,6,6,7,6,8,2,3,1,40,0,1
1,8,1,2,5,4,3,1,2,5,2,7000,5,5,9,8,7,1,2,2,45,1,1
3,9,3,4,8,7,6,3,1,8,1,9000,7,4,8,9,9,4,1,3,39,0,1
2,7,2,3,6,5,4,2,3,6,3,8000,6,6,7,6,8,2,3,1,36,1,1
1,10,1,1,5,4,3,1,4,5,0,6000,4,3,10,10,6,1,0,0,41,0,1
3,8,3,4,7,6,5,2,2,7,2,8500,6,5,8,7,7,3,2,2,43,1,1
2,9,2,2,6,5,4,2,3,6,3,7500,5,4,9,8,8,2,1,1,44,0,1
2,8,1,2,6,4,5,1,3,6,2,8000,4,5,8,7,6,2,1,1,32,1,1
1,9,2,3,7,5,6,2,2,7,1,7000,5,4,9,8,7,3,2,2,41,0,1
3,7,1,1,5,3,4,1,4,5,3,6000,3,6,7,6,5,1,1,1,28,1,1
2,8,2,2,6,4,5,2,3,6,2,8000,4,5,8,7,6,2,2,2,35,0,1
1,9,1,3,7,5,6,1,2,7,1,7000,5,4,9,8,7,3,1,1,39,1,1
3,7,2,1,5,3,4,2,4,5,3,6000,3,6,7,6,5,1,2,2,29,0,1
2,8,1,2,6,4,5,1,3,6,2,8000,4,5,8,7,6,2,1,1,33,1,1
1,9,2,3,7,5,6,2,2,7,1,7000,5,4,9,8,7,3,2,2,40,0,1
3,7,1,1,5,3,4,1,4,5,3,6000,3,6,7,6,5,1,1,1,27,1,1
2,8,2,2,6,4,5,2,3,6,2,8000,4,5,8,7,6,2,2,2,36,0,1
2,8,1,2,6,5,4,1,3,7,2,8000,6,5,8,7,8,2,1,1,35,1,1
1,9,2,3,7,6,5,2,2,6,1,6000,5,4,9,8,7,1,2,0,40,0,1
3,7,1,2,5,4,3,1,4,8,3,7000,7,6,7,6,9,3,0,2,32,1,1
2,10,3,4,8,7,6,3,1,5,0,5000,4,3,10,9,6,0,1,1,45,0,1
1,8,2,3,6,5,4,2,3,7,2,6000,6,5,8,7,8,2,2,0,38,1,1
3,9,1,2,5,4,3,1,2,6,1,7000,5,4,9,8,7,1,0,2,42,0,1
2,7,3,4,8,7,6,3,4,8,3,8000,7,6,7,6,9,3,1,1,36,1,1
1,10,2,3,7,6,5,2,1,5,0,5000,4,3,10,9,6,0,2,0,48,0,1
3,8,1,2,5,4,3,1,3,7,2,6000,6,5,8,7,8,2,1,2,34,1,1
2,9,3,4,8,7,6,3,2,6,1,7000,5,4,9,8,7,1,0,1,44,0,1
2,8,1,2,6,4,5,1,3,6,2,5000,6,5,8,7,8,2,1,1,35,1,1
1,9,2,1,5,3,4,0,2,7,1,4000,5,4,9,8,7,1,0,0,42,0,1
3,7,3,3,7,5,6,2,1,5,3,6000,7,6,7,6,9,3,2,2,28,1,1
2,8,1,2,6,4,5,1,3,6,2,5000,6,5,8,7,8,2,1,1,35,1,1
1,9,2,1,5,3,4,0,2,7,1,4000,5,4,9,8,7,1,0,0,42,0,1
3,7,3,3,7,5,6,2,1,5,3,6000,7,6,7,6,9,3,2,2,28,1,1
2,8,1,2,6,4,5,1,3,6,2,5000,6,5,8,7,8,2,1,1,35,1,1
1,9,2,1,5,3,4,0,2,7,1,4000,5,4,9,8,7,1,0,0,42,0,1
2,8,1,2,6,4,5,1,3,6,2,5000,6,5,8,7,8,2,1,1,35,1,1
1,9,2,1,5,3,4,0,2,7,1,4000,5,4,9,8,7,1,0,0,42,0,1
2,8,5,3,6,4,5,1,3,7,2,8000,6,5,8,7,8,2,1,1,32,1,1
1,9,3,2,5,3,4,0,2,6,1,6000,5,4,9,8,7,1,0,0,41,2,1
3,7,6,4,7,5,6,2,1,8,3,9000,7,6,7,6,9,3,2,2,29,1,1
2,8,4,3,6,4,5,1,3,7,2,7000,6,5,8,7,8,2,1,1,35,2,1
1,9,3,2,5,3,4,0,2,6,1,5000,5,4,9,8,7,1,0,0,38,1,1
3,7,6,4,7,5,6,2,1,8,3,10000,7,6,7,6,9,3,2,2,27,2,1
2,8,5,3,6,4,5,1,3,7,2,8000,6,5,8,7,8,2,1,1,33,1,1
1,9,3,2,5,3,4,0,2,6,1,6000,5,4,9,8,7,1,0,0,42,2,1
2,8,4,3,6,4,5,1,3,7,2,7000,6,5,8,7,8,2,1,1,36,1,1
1,9,3,2,5,3,4,0,2,6,1,5000,5,4,9,8,7,1,0,0,40,2,1
2,9,1,2,8,5,6,1,3,7,2,8000,4,5,9,8,6,2,1,1,35,1,1
1,8,2,3,7,4,5,2,2,6,1,6000,3,4,8,7,5,1,2,0,42,0,1
3,10,1,1,9,6,7,0,4,8,3,7000,5,6,10,9,7,3,0,2,29,1,1
2,7,3,2,6,5,4,3,1,5,0,5000,2,3,7,6,4,0,1,1,50,0,1
1,9,2,3,8,4,6,1,3,7,2,6000,4,5,9,8,6,2,0,0,38,1,1
2,8,1,2,7,5,5,2,2,6,1,7000,3,4,8,7,5,1,2,1,45,0,1
3,10,2,1,9,6,7,0,4,8,3,8000,5,6,10,9,7,3,0,2,32,1,1
1,7,3,3,6,4,4,3,1,5,0,5000,2,3,7,6,4,0,1,1,48,0,1
2,9,2,2,8,5,6,1,3,7,2,6000,4,5,9,8,6,2,0,0,41,1,1
3,8,1,1,9,6,7,0,4,8,3,7000,5,6,10,9,7,3,0,2,36,0,1
2,8,1,2,6,5,4,1,3,7,2,5000,6,5,8,7,8,2,1,1,35,1,1
1,9,2,1,5,4,3,0,2,6,1,3000,5,4,9,8,7,1,0,0,40,0,1
3,7,3,3,7,6,5,2,1,8,3,7000,7,6,7,6,9,3,2,2,32,1,1
2,10,1,2,6,5,4,1,3,7,2,5000,6,5,8,7,8,2,1,1,38,0,1
1,9,2,1,5,4,3,0,2,6,1,3000,5,4,9,8,7,1,0,0,42,1,1
3,8,3,3,7,6,5,2,1,8,3,7000,7,6,7,6,9,3,2,2,30,0,1
2,10,1,2,6,5,4,1,3,7,2,5000,6,5,8,7,8,2,1,1,36,1,1
1,9,2,1,5,4,3,0,2,6,1,3000,5,4,9,8,7,1,0,0,45,0,1
3,7,3,3,7,6,5,2,1,8,3,7000,7,6,7,6,9,3,2,2,29,1,1
2,8,1,2,6,5,4,1,3,7,2,5000,6,5,8,7,8,2,1,1,39,0,1
2,9,1,2,8,5,6,1,3,7,2,8000,4,5,9,8,6,2,1,1,35,1,1
1,8,2,1,9,4,5,2,2,6,1,6000,3,4,8,9,5,1,2,0,42,0,1
3,10,0,3,7,6,8,0,4,9,3,10000,5,3,10,7,8,3,0,2,28,1,1
2,9,1,2,6,5,7,1,3,8,2,9000,4,6,9,8,7,2,1,1,38,0,1
1,8,2,1,8,4,6,2,2,7,1,7000,3,5,8,9,6,1,2,0,45,1,1
3,10,0,3,5,6,9,0,4,10,3,11000,5,4,10,6,9,4,0,3,32,0,1
2,9,1,2,7,5,8,1,3,9,2,10000,4,6,9,8,8,3,1,2,40,1,1
1,8,2,1,9,4,7,2,2,8,1,8000,3,5,8,9,7,2,2,1,50,0,1
3,10,0,3,6,6,9,0,4,10,3,12000,5,3,10,7,10,5,0,3,29,1,1
2,9,1,2,8,5,8,1,3,9,2,9000,4,6,9,8,9,4,1,2,39,0,1
8,2,5,8,6,7,9,4,2,8,9,10000,8,8,1,0,8,5,8,3,32,1,0
7,3,4,9,7,8,8,5,1,9,8,9000,9,9,2,1,9,6,9,4,41,2,0
9,1,6,7,8,6,7,6,3,7,7,11000,7,7,0,0,7,4,7,5,29,1,0
6,4,5,8,5,9,6,7,2,6,9,10000,6,8,1,1,8,8,8,3,35,2,0
8,2,7,9,9,7,8,4,1,8,8,9000,8,9,2,0,9,5,9,4,42,1,0
7,3,4,8,7,8,9,5,3,9,9,11000,9,8,1,1,8,6,8,5,30,2,0
9,1,6,7,8,6,7,6,2,7,7,10000,7,7,0,0,7,4,7,3,28,1,0
6,4,5,8,5,9,6,7,1,6,9,9000,6,8,1,1,8,8,8,4,36,2,0
8,2,7,9,9,7,8,4,3,8,8,11000,8,9,2,0,9,5,9,5,43,1,0
7,3,4,8,7,8,9,5,2,9,9,10000,9,8,1,1,8,6,8,3,31,2,0
8,2,5,8,6,7,9,4,2,8,8,10000,9,8,1,1,8,5,9,4,32,1,0
7,3,4,7,5,6,8,3,3,7,7,9000,8,7,2,0,7,4,8,3,41,2,0
9,1,6,9,8,8,9,5,2,9,9,11000,9,9,0,1,9,6,9,5,29,1,0
6,4,5,6,4,5,7,2,3,6,6,8000,7,8,1,0,6,3,7,2,38,2,0
8,2,7,8,7,8,8,4,1,8,8,10000,8,7,3,1,8,5,8,4,35,1,0
7,3,4,7,5,6,7,3,2,7,7,9000,7,8,2,0,7,4,7,3,42,2,0
9,1,6,9,8,8,9,5,1,9,9,11000,9,9,0,1,9,6,9,5,30,1,0
6,4,5,6,4,5,6,2,3,6,6,8000,6,8,1,0,6,3,6,2,39,2,0
8,2,7,8,7,8,8,4,2,8,8,10000,8,7,3,1,8,5,8,4,36,1,0
7,3,4,7,5,6,7,3,1,7,7,9000,7,8,2,0,7,4,7,3,40,2,0
8,2,5,8,6,7,9,4,2,8,8,10000,9,8,1,0,8,5,9,4,32,1,0
7,3,4,7,5,6,8,3,3,7,7,9000,8,7,2,1,7,4,8,3,41,2,0
9,1,6,9,7,8,9,5,1,9,9,11000,9,9,0,0,9,6,9,5,29,1,0
6,4,3,6,4,5,7,2,4,6,6,8000,7,8,3,2,6,3,7,2,38,2,0
8,2,5,8,6,7,8,4,2,8,8,10000,8,8,1,0,8,5,8,4,35,1,0
7,3,4,7,5,6,7,3,3,7,7,9000,7,7,2,1,7,4,7,3,42,2,0
9,1,6,9,7,8,9,5,1,9,9,11000,9,9,0,0,9,6,9,5,30,1,0
6,4,3,6,4,5,7,2,4,6,6,8000,7,8,3,2,6,3,7,2,39,2,0
8,2,5,8,6,7,8,4,2,8,8,10000,8,8,1,0,8,5,8,4,36,1,0
7,3,4,7,5,6,7,3,3,7,7,9000,7,7,2,1,7,4,7,3,43,2,0
8,2,5,8,6,7,9,5,2,8,9,10000,8,8,1,0,8,6,9,4,32,1,0
7,3,4,9,7,6,8,6,3,9,8,9000,9,7,2,1,9,7,8,5,28,2,0
9,1,6,7,8,8,7,7,1,7,9,11000,7,9,0,0,7,8,9,6,35,1,0
6,4,5,6,9,9,6,8,2,6,7,8000,6,8,1,1,6,9,7,3,30,2,0
8,2,7,8,5,7,9,4,3,8,8,10000,8,7,2,0,8,6,8,4,32,1,0
7,3,4,9,6,6,8,5,1,9,9,9000,9,8,1,1,9,7,9,5,29,2,0
9,1,6,7,8,8,7,6,2,7,8,11000,7,9,0,0,7,8,8,6,36,1,0
6,4,5,6,9,9,6,7,3,6,7,8000,6,8,1,1,6,9,7,3,31,2,0
8,2,7,8,5,7,9,4,1,8,8,10000,8,7,2,0,8,6,8,4,33,1,0
7,3,4,9,6,6,8,5,2,9,9,9000,9,8,1,1,9,7,9,5,30,2,0
8,2,5,8,6,7,9,4,2,8,9,10000,8,8,1,0,8,5,8,4,32,1,0
7,3,4,9,7,8,8,5,1,9,8,9000,9,9,2,1,9,6,9,5,28,2,0
9,1,6,7,8,6,7,6,3,7,9,11000,7,7,0,0,7,4,7,6,35,1,0
6,4,5,8,5,9,6,7,2,6,8,8000,6,8,1,1,6,8,6,3,29,2,0
8,2,7,9,9,7,9,4,1,8,9,10000,8,9,0,0,8,5,8,5,31,1,0
7,3,4,7,6,8,8,5,2,9,8,9000,7,8,2,1,9,6,9,4,27,2,0
9,1,6,8,7,6,7,6,3,7,9,11000,9,7,0,0,7,4,7,6,36,1,0
6,4,5,8,5,9,6,7,2,6,8,8000,6,8,1,1,6,8,6,3,30,2,0
8,2,7,9,9,7,9,4,1,8,9,10000,8,9,0,0,8,5,8,5,32,1,0
7,3,4,7,6,8,8,5,2,9,8,9000,7,8,2,1,9,6,9,4,29,2,0
8,2,5,8,6,7,9,4,2,8,9,10000,8,8,1,1,8,5,9,4,32,1,0
7,3,4,7,5,6,8,3,3,7,8,9000,7,7,2,0,7,4,8,5,41,2,0
9,1,6,9,7,8,9,5,1,9,10,11000,9,9,0,0,9,6,10,6,29,1,0
6,4,5,6,4,5,7,2,2,6,7,8000,6,7,1,1,6,3,7,3,38,2,0
8,2,7,8,6,7,8,4,3,8,9,10000,8,8,2,0,8,5,9,5,35,1,0
7,3,4,7,5,6,7,3,2,7,8,9000,7,7,1,1,7,4,8,4,42,2,0
9,1,8,9,8,9,10,6,1,10,10,12000,10,9,0,0,10,7,10,7,30,1,0
6,4,3,6,4,5,6,2,3,6,6,7000,6,6,2,2,6,3,6,2,45,2,0
8,2,6,8,6,7,8,4,2,8,8,10000,8,8,1,0,8,5,8,5,36,1,0
7,3,5,7,5,6,7,3,3,7,7,9000,7,7,2,1,7,4,7,4,39,2,0
8,2,5,8,6,7,9,5,2,8,9,10000,8,8,1,1,8,6,8,4,32,1,0
7,3,4,7,7,8,8,6,3,9,8,9000,9,9,2,0,9,7,9,5,41,2,0
9,1,6,9,8,9,9,7,1,8,9,11000,8,7,0,1,8,8,7,6,29,1,0
6,4,5,6,5,6,7,4,2,7,7,8000,6,8,1,2,6,4,6,3,35,2,0
8,2,7,8,9,8,8,8,1,9,8,10000,9,8,0,0,9,9,8,7,27,1,0
7,3,4,7,6,7,7,5,3,8,7,9000,7,9,2,1,7,6,7,4,39,2,0
9,1,6,9,8,9,9,8,2,9,9,11000,9,7,1,0,8,8,9,6,31,1,0
6,4,5,6,5,6,6,4,1,6,6,8000,6,8,2,2,6,5,5,3,36,2,0
8,2,7,8,9,8,8,7,3,8,8,10000,8,9,0,1,9,8,8,7,28,1,0
7,3,4,7,6,7,7,6,2,7,7,9000,7,8,1,0,7,7,7,5,38,2,0
8,2,5,8,6,9,7,4,2,8,9,10000,8,8,1,0,8,5,9,4,32,1,0
7,3,4,7,5,8,6,3,3,7,8,9000,7,7,2,1,7,4,8,3,41,2,0
9,1,6,9,8,9,8,5,2,9,10,11000,9,9,0,0,9,6,10,5,28,1,0
6,4,5,6,4,7,5,2,1,6,7,8000,6,8,1,1,6,3,7,2,35,2,0
8,2,7,8,7,8,7,4,3,8,9,10000,8,8,0,0,8,5,9,4,29,1,0
7,3,4,7,5,7,6,3,2,7,8,9000,7,7,2,1,7,4,8,3,42,2,0
9,1,6,9,8,9,8,5,1,9,10,11000,9,9,0,0,9,6,10,5,27,1,0
6,4,5,6,4,6,5,2,3,6,7,8000,6,8,1,1,6,3,7,2,36,2,0
8,2,7,8,7,8,7,4,2,8,9,10000,8,8,0,0,8,5,9,4,30,1,0
7,3,4,7,5,7,6,3,1,7,8,9000,7,7,2,1,7,4,8,3,40,2,0
